season,week,celebrity_name,Target_Judge_Scores_Sum,Target_Fan_Votes,Age,Is_International,Pro_Experience,Pro_Avg_Placement,Pro_Pedigree,Pro_Lift,Ind_Athletes,Ind_Media_Fashion,Ind_Performing_Arts,Ind_Professional,Ind_Vocal_Artists
1,1,Evander Holyfield,18.0,770285.7150559999,42,0,0,6.814726840855107,0.0,0.0,1,0,0,0,0
1,1,Joey McIntyre,20.0,1027047.61648,32,0,0,6.814726840855107,0.0,0.0,0,0,0,0,1
1,1,John O'Hurley,20.0,1540571.4301119999,50,0,0,6.814726840855107,0.0,0.0,0,0,1,0,0
1,1,Kelly Monaco,13.0,256761.90681599997,29,0,0,6.814726840855107,0.0,0.0,0,0,1,0,0
1,1,Rachel Hunter,20.0,1283809.523296,35,1,0,6.814726840855107,0.0,0.0,0,1,0,0,0
1,1,Trista Sutter,18.0,513523.80824,32,0,0,6.814726840855107,0.0,0.0,0,1,0,0,0
1,2,Evander Holyfield,14.0,862285.7151479999,42,0,0,6.814726840855107,0.0,0.0,1,0,0,0,0
1,2,Joey McIntyre,21.0,1149714.28284,32,0,0,6.814726840855107,0.0,0.0,0,0,0,0,1
1,2,John O'Hurley,26.0,1724571.4302959999,50,0,0,6.814726840855107,0.0,0.0,0,0,1,0,0
1,2,Kelly Monaco,17.0,1437142.8565679998,29,0,0,6.814726840855107,0.0,0.0,0,0,1,0,0
1,2,Rachel Hunter,24.0,574857.14142,35,1,0,6.814726840855107,0.0,0.0,0,1,0,0,0
1,2,Trista Sutter,19.0,287428.573728,32,0,0,6.814726840855107,0.0,0.0,0,1,0,0,0
1,3,Evander Holyfield,13.0,417866.668756,42,0,0,6.814726840855107,0.0,0.0,1,0,0,0,0
1,3,Joey McIntyre,22.0,1253600.0,32,0,0,6.814726840855107,0.0,0.0,0,0,0,0,1
1,3,John O'Hurley,24.0,1671466.6687560002,50,0,0,6.814726840855107,0.0,0.0,0,0,1,0,0
1,3,Kelly Monaco,21.0,835733.331244,29,0,0,6.814726840855107,0.0,0.0,0,0,1,0,0
1,3,Rachel Hunter,26.0,2089333.331244,35,1,0,6.814726840855107,0.0,0.0,0,1,0,0,0
1,4,Joey McIntyre,20.0,1862400.0,32,0,0,6.814726840855107,0.0,0.0,0,0,0,0,1
1,4,John O'Hurley,21.0,1241600.0,50,0,0,6.814726840855107,0.0,0.0,0,0,1,0,0
1,4,Kelly Monaco,26.0,2483200.0,29,0,0,6.814726840855107,0.0,0.0,0,0,1,0,0
1,4,Rachel Hunter,25.0,620800.0,35,1,0,6.814726840855107,0.0,0.0,0,1,0,0,0
1,5,Joey McIntyre,22.5,1239333.3358119999,32,0,0,6.814726840855107,0.0,0.0,0,0,0,0,1
1,5,John O'Hurley,27.0,3718000.0,50,0,0,6.814726840855107,0.0,0.0,0,0,1,0,0
1,5,Kelly Monaco,23.5,2478666.664188,29,0,0,6.814726840855107,0.0,0.0,0,0,1,0,0
